Name,Street,City,Region,Zip
Beyond Vision,5115 Disbrow Ct,Lincoln,Nebraska,68516
Howard's Optique,2000 North rock Road<br> Suite 110,WICHITA,,67206
Exclusively Eyecare,13104 W. Dodge Road,Omaha,,68154
Robert Max Opticians,8730 Pacific Street,Omaha,,68114
Fairway Eye Center,3414 Shawnee Mission Parkway,Fairway,,66205
Eye Style Optics,4050 Indian Creek Parkway,OVERLAND PARK,,66207
Eye Style Optics Prairie Fire,5621 W 135th St - Suite 2650,OVERLAND,,66223
Optical Innovations,107 West 63rd Street,KANSAS CITY,,64113
Russ' Uptown Optical,4122 University Avenue,DES MOINES,,50311
Family Eyewear,1212 Pleasant Street  Suite #101,DES MOINES,,50309
Black Optical,3524D South Peoria Ave,Tulsa,Oklahoma,33143
Twenty Twenty Eyecare,7408 S. Yale Ave,Tulsa,Oklahoma,74136
Vision Eye Center - Tulsa,6837 Memorial Drive,Tulsa,,74133
Black Optical,5820 N. Classen Blvd # 2,Oklahoma City,Oklahoma,73118
Dick Story Optical,5631 N. Penn,Oklahoma,,73112
VISION CARE SPECIALISTS,6160 South Syracuse Way<br> Suite 150,Greenwood Village,,80111
In Vision Eye Care Center,30 E. Southhampton Dr. Ste 109,COLUMBIA,,65203
Wink Optical,3301 30th St,BOULDER,,80301
Envision Boulder,1011 Pearl Street,Boulder,Colorado,80302
Reed M Bouchey MD,501 S. White Street,Mount Pleasant,,52641
The Eye Group,2401 S. Waldron Road,Ft. Smith,,72903
Clarke Eyecare Center,4314 Kemp Blvd,Wichita Falls,Texas,76308
Eye Pieces of Vail,122 E. Meadow Rd. #D-1,Vail,,81657
"Eye Q, Intelligent Eyewear",20 2nd Ave SW,ROCHESTER,,55902
Invision Optical LLC - Galleria,3380 Galleria,Edina,,55435
MORGENTHAL FREDERICS,533 E. Cooper,Aspen,,81611
Invision Optical LLC - Minnetonka,11300 Wayzata Blvd,Minnetonka,,55305
Invision Optical LLC - Nolo,"219 North 2nd Street, # 160",MINNEAPOLIS,,55401
The Eye Bar - Clayton,169 Carondelet,Clayton,,63105
Invision Optical LLC - St. Paul,867 Grand Avenue,Saint Paul,,55105
The Eye Bar  - St. Louis,401 N Euclid Ave,Saint Louis,,63108
Eye Q Frisco,8380 Warren Parkway #605,Frisco,,75035
Spectacles Fine Eyewear,"7500 Windrose Ave, B-180",Plano,Texas,75024
Eye Pieces - Plano,7200 Bishop Road,Plano,,75024
Eyes Nouveau - Southlake,1247 Main Street,Southlake,,76092
Prestonwood Eyecare,"5455 Belt Line Road, Suite 150",DALLAS,,75254
L'Optique of Dallas,11930 Preston Road  Suite 130,Dallas,,75230
Burrow Optical,5901 R Street,Little Rock,,72207
American Eyewear - Highland Park,8309 Preston Road,Dallas,,75225
Occhiali Modern Optics,8304 Preston Center Plaza Driv,DALLAS,,75225
Dr Lisa Calaway Batky,5600 W. Lovers Lane,Dallas,Texas,75209
Optical Shop of Santa Fe,201 Galisteo Street,Santa Fe,,87501
Adair Optical,3550 W. 7th Street,Fort Worth,Texas,76107
Eyes on Camp Bowie,6333 Camp Bowie Blvd<br> Suite 272,Fort Worth,Texas,76116
Eye Pieces,3699 McKinney Avenue,Dallas,,75204
Black Optical,"5141 Monahans Ave,",Fort Worth,Texas,76109
Eyes Nouveau,"3000 S. Hulen , Suite 104",Fort Worth,Texas,76109
Clear Eye Associates,3798 Bryant Irvin Rd,Fort Worth,Texas,76109
Eye Contact - Madison,7428 Mineral Road Point,Madison,,53717
Eyewear Gallery - Memphis,428 South Perkins EXTD,Memphis,,38117
Blink Optical Ltd.,654 Bank Lane,Lake Forest,,60045
Vision Optique - Brookfield,19265 W. Capital Dr. Suite 101,BROOKFIELD,,53045
Optique North Shore Eye Care,561 Lincoln Avenue,Winnetka,,60093
Linton Opticians,2500 Ridge Ave,Evanston,,60201
Custom Eyes,134 N. LaSalle Street,Chicago,Illinois,60602
WEAR Eyewear,750 N.Franklin Street,CHICAGO,,60654
"Eyelines, Inc.",128 W. Monroe,Chicago,,60603
Contacts and Specs Broadway,3123 N Broadway St<br> Suite A,Chicago,,60657
Solo Eye Care,1 E. Delaware Place,Chicago,Illinois,60611
OPTICA,"The Shops at North Bridge, 520 N. Michigan Avenue",Chicago,,60611
Robert Marc Opticians - 386,386 Bleecker St,New York,,10014
Oculus 20/20,267 Smith Street,BROOKLYN,,11231
Myoptics,322 Washington Street,Hoboken,New Jersey,7030
HelloVisonist.com,234 39th St.,New York,New York,10018
Robert Marc Opticians - 400,400 Madison Avenue,New York,,10022
LEONARD OPTICIANS,24 W 55th Street,New York,,10019
Robert Marc Opticians - 551,551 Madison Ave.,New York,,10022
Robert Marc Opticians - 782,782 Madison Ave.,New York,,10021
Robert Marc Opticians - 190,190 Columbus Ave.,New York,,10023
LEONARD OPTICIANS,1264 3rd Avenue,New York,,10021
Robert Marc Opticians - 1046,1046 Madison Ave.,New York,,10021
Robert Marc Opticians - 1225,1225 Madison Ave,MANHATTAN,,10128
MS Optical,5202 16th Avenue,BROOKLYN,,11204
Sunny Vision,2500 Lemoine Avenue,Fort Lee,New Jersey,07024
Spectacles,17 Grand Avenue,Englewood,New Jersey,07631
Trapp Opticians - Bronxville,42 Pondfield Road,Bronxville,,10708
Pildes Optical,The Mall at Short Hills   JFK parkway,Short Hills,,7078
Optical Heights,195 Mineola Avenue,Roslyn Heights,,11577
Trapp Opticians - Scarsdale,10 Harwood Court,Scarsdale,,10583
Eye Gallery of Scarsdale,8 Spencer Place,SCARSDALE,,10583
Eye Design (Red Bank),90 Broad Street,Red Bank,,7701
Michael Allen Opticians,7948 Jericho Turnpike,Woodbury,,11797
Trapp Optical - Greenwich,87 Greenwich Avenue,Greenwich,,6830
I Fetish Pleasantville,1 Wheeler Ave,Pleasantville,,10570
20/20 Optical  CT,15 Arcadia Road,Old Greenwich,,6870
Specs of Darien,1 Tokeneke Rd,Darien,,6820
Professional Optometry,77 Veterans Memorial Hwy,Commack,New York,11725
MORGENTHAL FREDERICS,127 Main Street,New Canaan,,6840
Riehle Opticians,104 Main Street,Warwick,New York,10990
AUCOURANT,"Palmer Square Princeton, 57 Palmer Square West",Princeton,,8542
Specs of Westport,115 Post Road East,Westport,,6880
Dr. George G. Amatuzzi,419 Main Street,Ridgefield,,6877
Specs of Fairfield,2385 Black Rock Turnpike,FAIRFIELD,,6825
Dreyfus Opticians,24 South Main Street<br> PO Box 355,Yardley,,19067
Fritz & Hawley,2313 Whitney Avenue,Hamden,Connecticut,6518
The Eyeglassworks Inc.,P.O. 29153,Philadelphia,,19127
Marchese Opticians,713 Montgomery Avenue,NARBERTH,,19072
Bosson Optical,29 West Street,Litchfield,Connecticut,06759
"Robert Hufford, Inc",841 Lancaster Ave,BRYN MAWR,,19010
American Vision at the Court,"690 W Dekalb Pike, # 2035",King of Prussia,Pennsylvania,19406
Roeloff's East Hampton Optical,9 Barns Lane,East Hampton,,1197
Central Optica,33 LaSalle Rd.,West Hartford,,6107
Simon Eye Associates,"5301 Limestone Rd, Suite 128",Wilmington,,DE 19711
Opt Eyewear Boutique,138 A Wayland Avenue,Providence,,2906
Bello Opticians,348 Shrewsbury Street,Worcester,,1604
OPTICA,"Natick Mall, 1245 Worcester Street",Natick,,1760
Optical Designs,68 Central Street,Wellesley,Massachusetts,2481
Vision Optics,63 Central Street,Wellesley,,2482
Weston Optical,75 Boston Post Road,Wayland,Massachusetts,01778
Newton Optica - Dr. Stephen Kolnik,1191 Chestnut Street,Newton,Massachusetts,1191
Yosemite Eyewear,42 Langley Road,Newton,,2459
OPTICIANS 3,"The Mall at Chestnut Hill, 199 Boylston Street",Chestnut Hill,,2467
Sia Optical,311 Main Street,Falmouth,Massachusetts,2540
Vizio Optic,11 Harvard Street,BROOKLINE,,2445
Point of U,291 Newbury Street,Boston,Massachusetts,02115
Eyes over Copley,10 Huntington Avenue,Boston,,2116
In-Sight Optical,50 Burlington Mall Road,BURLINGTON,,1803
Frameology Optical,5781 Bridge Street,East Syracuse,New York,13057
Todd Rogers,18 Park Street,Andover,Massachusetts,01810
Voorthuis Opticians - Bethesda,10231 Old Georgetown Road,BETHESDA,,20814
Eyes over Copley,10 Huntington Avenue,Boston,,2116
Point of U,291 Newbury Street,Boston,Massachusetts,02115
Vizio Optic,11 Harvard Street,BROOKLINE,,2445
OPTICIANS 3,"The Mall at Chestnut Hill, 199 Boylston Street",Chestnut Hill,,2467
Yosemite Eyewear,42 Langley Road,Newton,,2459
Newton Optica - Dr. Stephen Kolnik,1191 Chestnut Street,Newton,Massachusetts,1191
In-Sight Optical,50 Burlington Mall Road,BURLINGTON,,1803
Vision Optics,63 Central Street,Wellesley,,2482
Optical Designs,68 Central Street,Wellesley,Massachusetts,2481
Weston Optical,75 Boston Post Road,Wayland,Massachusetts,01778
OPTICA,"Natick Mall, 1245 Worcester Street",Natick,,1760
Todd Rogers,18 Park Street,Andover,Massachusetts,01810
Bello Opticians,348 Shrewsbury Street,Worcester,,1604
Opt Eyewear Boutique,138 A Wayland Avenue,Providence,,2906
Sia Optical,311 Main Street,Falmouth,Massachusetts,2540
Nantucket Eye Center,13 Old South Road,Nantucket,,2554
Classic Eyewear,192 US Route One,Scarborough,Maine,04074
Central Optica,33 LaSalle Rd.,West Hartford,,6107
Roeloff's East Hampton Optical,9 Barns Lane,East Hampton,,1197
Fritz & Hawley,2313 Whitney Avenue,Hamden,Connecticut,6518
Bosson Optical,29 West Street,Litchfield,Connecticut,06759
Specs of Fairfield,2385 Black Rock Turnpike,FAIRFIELD,,6825
Specs of Westport,115 Post Road East,Westport,,6880
Dr. George G. Amatuzzi,419 Main Street,Ridgefield,,6877
MORGENTHAL FREDERICS,127 Main Street,New Canaan,,6840
Specs of Darien,1 Tokeneke Rd,Darien,,6820
Professional Optometry,77 Veterans Memorial Hwy,Commack,New York,11725
20/20 Optical  CT,15 Arcadia Road,Old Greenwich,,6870
Trapp Optical - Greenwich,87 Greenwich Avenue,Greenwich,,6830
I Fetish Pleasantville,1 Wheeler Ave,Pleasantville,,10570
Michael Allen Opticians,7948 Jericho Turnpike,Woodbury,,11797
Eye Gallery of Scarsdale,8 Spencer Place,SCARSDALE,,10583
Trapp Opticians - Scarsdale,10 Harwood Court,Scarsdale,,10583
Optical Heights,195 Mineola Avenue,Roslyn Heights,,11577
Trapp Opticians - Bronxville,42 Pondfield Road,Bronxville,,10708
Spectacles,17 Grand Avenue,Englewood,New Jersey,07631
Sunny Vision,2500 Lemoine Avenue,Fort Lee,New Jersey,07024
Robert Marc Opticians - 1225,1225 Madison Ave,MANHATTAN,,10128
Robert Marc Opticians - 1046,1046 Madison Ave.,New York,,10021
LEONARD OPTICIANS,1264 3rd Avenue,New York,,10021
Riehle Opticians,104 Main Street,Warwick,New York,10990
Robert Marc Opticians - 782,782 Madison Ave.,New York,,10021
Robert Marc Opticians - 190,190 Columbus Ave.,New York,,10023
Robert Marc Opticians - 551,551 Madison Ave.,New York,,10022
LEONARD OPTICIANS,24 W 55th Street,New York,,10019
Robert Marc Opticians - 400,400 Madison Avenue,New York,,10022
HelloVisonist.com,234 39th St.,New York,New York,10018
Robert Marc Opticians - 386,386 Bleecker St,New York,,10014
Myoptics,322 Washington Street,Hoboken,New Jersey,7030
Oculus 20/20,267 Smith Street,BROOKLYN,,11231
MS Optical,5202 16th Avenue,BROOKLYN,,11204
Pildes Optical,The Mall at Short Hills   JFK parkway,Short Hills,,7078
Eye Design (Red Bank),90 Broad Street,Red Bank,,7701
AUCOURANT,"Palmer Square Princeton, 57 Palmer Square West",Princeton,,8542
Dreyfus Opticians,24 South Main Street<br> PO Box 355,Yardley,,19067
Alain Assedo,4933 Sherbrooke Quest,Westmount,Quebec,H3Z 1H2
Optika Avenue,4148 ST. Catherine Ouest,Westmount,,H3Z 1P4
Harry Toulch Optometrist,1327 Greene Ave,Westmount,,QC H3Z 2A5
OKIO,2155 Crescent St. #100,Montreal,Quebec,H3G 2C1
Harry Toulch Optometrist,3750 Blvd Saint-Laurent,Montreal,Quebec,H2W-1Y4
"Eyelines, Inc.",128 W. Monroe,Chicago,,60603
Custom Eyes,134 N. LaSalle Street,Chicago,Illinois,60602
OPTICA,"The Shops at North Bridge, 520 N. Michigan Avenue",Chicago,,60611
WEAR Eyewear,750 N.Franklin Street,CHICAGO,,60654
Solo Eye Care,1 E. Delaware Place,Chicago,Illinois,60611
Glasses Ltd. Michigan,900 N Michigan Avenue,Chicago,,60611
Glasses Ltd. on Oak,50 East Oak Street,Chicago,,60611
Contacts and Specs Broadway,3123 N Broadway St<br> Suite A,Chicago,,60657
Linton Opticians,2500 Ridge Ave,Evanston,,60201
Optique North Shore Eye Care,561 Lincoln Avenue,Winnetka,,60093
Blink Optical Ltd.,654 Bank Lane,Lake Forest,,60045
Optix on Downer,2636 N. Downer Ave,Milwaukee,,53211
Vision Optique - Brookfield,19265 W. Capital Dr. Suite 101,BROOKFIELD,,53045
Innovative Optique,6944 N.Pt.Washington Rd.,Glendale,,53217
Eye Contact - Madison,7428 Mineral Road Point,Madison,,53717
Eyecare Associates of Bluffton,980 N Main Street,Bluffton,Indiana,46714
Ossip Optometry - Zionsville,1501 Oak Street,Zionsville,,46077
Ossip Mishawaka,"9795 Crosspoint Blvd,#100",INDIANAPOLIS,,46256
Ossip Optometry - Broad Ripple,804 Broad Ripple Avenue,INDIANAPOLIS,,46220
Optiks - Bloomington,101 W. Kirkwood Ave.,BLOOMINGTON,,47404
The Optical Shop - Ohio,3205 West Central,OTTAWA HILLS,,43606
Reed M Bouchey MD,501 S. White Street,Mount Pleasant,,52641
Birmingham Vision Center,4114 W. Maple Road,Bloomfield Township,,48301
Optik of Birmingham,245 West Maple,Birmingham,,48009
AUCOURANT,"The Somerset Collection, 2801 W. Big Beaver",Troy,,48084
Eye 1 Unique Eyewear,2319 Far Hille Avenue,Dayton,Ohio,45419
Eye 1 Cincinnati,2648 Erie Avenue,Cincinnati,,45208
The Eye Bar  - St. Louis,401 N Euclid Ave,Saint Louis,,63108
The Eye Bar - Clayton,169 Carondelet,Clayton,,63105
Arlington Optical,1756 West Lane Avenue,COLUMBUS,,43221
DWB Inc - Dba EyeDesigns Grandview,1421 Grandview Avenue,Columbus,,43212
Arlington Optical,262 Neil Avenue,Columbus,Ohio,43215
Eye Design,220 C Market Street,New Albany,Ohio,43054
"Eye Q, Intelligent Eyewear",20 2nd Ave SW,ROCHESTER,,55902
Family Eyewear,1212 Pleasant Street  Suite #101,DES MOINES,,50309
The Eyeglassworks Inc.,P.O. 29153,Philadelphia,,19127
Marchese Opticians,713 Montgomery Avenue,NARBERTH,,19072
"Robert Hufford, Inc",841 Lancaster Ave,BRYN MAWR,,19010
American Vision at the Court,"690 W Dekalb Pike, # 2035",King of Prussia,Pennsylvania,19406
Dreyfus Opticians,24 South Main Street<br> PO Box 355,Yardley,,19067
Simon Eye Associates,"5301 Limestone Rd, Suite 128",Wilmington,,DE 19711
AUCOURANT,"Palmer Square Princeton, 57 Palmer Square West",Princeton,,8542
Eye Design (Red Bank),90 Broad Street,Red Bank,,7701
Pildes Optical,The Mall at Short Hills   JFK parkway,Short Hills,,7078
MS Optical,5202 16th Avenue,BROOKLYN,,11204
Oculus 20/20,267 Smith Street,BROOKLYN,,11231
Myoptics,322 Washington Street,Hoboken,New Jersey,7030
Robert Marc Opticians - 386,386 Bleecker St,New York,,10014
HelloVisonist.com,234 39th St.,New York,New York,10018
Robert Marc Opticians - 400,400 Madison Avenue,New York,,10022
LEONARD OPTICIANS,24 W 55th Street,New York,,10019
Robert Marc Opticians - 551,551 Madison Ave.,New York,,10022
Robert Marc Opticians - 190,190 Columbus Ave.,New York,,10023
Robert Marc Opticians - 782,782 Madison Ave.,New York,,10021
LEONARD OPTICIANS,1264 3rd Avenue,New York,,10021
Robert Marc Opticians - 1046,1046 Madison Ave.,New York,,10021
Robert Marc Opticians - 1225,1225 Madison Ave,MANHATTAN,,10128
Sunny Vision,2500 Lemoine Avenue,Fort Lee,New Jersey,07024
Spectacles,17 Grand Avenue,Englewood,New Jersey,07631
Trapp Opticians - Bronxville,42 Pondfield Road,Bronxville,,10708
Optical Heights,195 Mineola Avenue,Roslyn Heights,,11577
Riehle Opticians,104 Main Street,Warwick,New York,10990
Trapp Opticians - Scarsdale,10 Harwood Court,Scarsdale,,10583
Eye Gallery of Scarsdale,8 Spencer Place,SCARSDALE,,10583
Michael Allen Opticians,7948 Jericho Turnpike,Woodbury,,11797
I Fetish Pleasantville,1 Wheeler Ave,Pleasantville,,10570
Trapp Optical - Greenwich,87 Greenwich Avenue,Greenwich,,6830
20/20 Optical  CT,15 Arcadia Road,Old Greenwich,,6870
Professional Optometry,77 Veterans Memorial Hwy,Commack,New York,11725
Specs of Darien,1 Tokeneke Rd,Darien,,6820
MORGENTHAL FREDERICS,127 Main Street,New Canaan,,6840
Bethesda Vision Care,4300 East West Hwy.,Bethesda,,MD 20814
Georgetown Opticians -Eastern Market,660 Pennsylvania Avenue,Washington DC,,20003
Voorthuis Opticians - Bethesda,10231 Old Georgetown Road,BETHESDA,,20814
Georgetown Opticians - 14th Street,1919 14th Street NW,WASHINGTON,,20009
Wink Eyecare Boutique,1095 Seven Locks Road,Potomac,,20854
MORGENTHAL FREDERICS,"City Center DC,¾941 H Street, NW",Washington,,20001
I Doc Optical - DC,923 F. Street NW,WASHINGTON,,20004
Voorthuis Opticians - Mazza Gallerie,5300 Wisconsin Ave,Washington,,20015
Drs Klessman & Rosenblatt,900 17th Street NW,WASHINGTON,,20006
Metropolitan Optical,1919 Pennsylvania Avenue NW,Washington DC,,20006
Voorthuis Opticians - Foxhall,3301 New Mexico Ave NW,WASHINGTON,,20016
Georgetown Opticians,1307 Wisconsin Avenue NW,Washington,,20007
Specs of Westport,115 Post Road East,Westport,,6880
Dr. George G. Amatuzzi,419 Main Street,Ridgefield,,6877
Village Eye Center - Mc Lean,1471 Chain Bridge Road,McLean,,22101
